Wort Deutsch;Wort Pinyin ;Wortart;Satz Pinyin;Satz Deutsch;Wort Hanyu;Satz Hanyu;Lektion;
ZEW für Geld;fēn;Subst.;Wǒ hái yǒu shí fēnzhōng.;Ich habe noch zehn Minuten.;分;我还有十分钟。;L05-1-08;L05
bezahlen;fù/fù qián;Verb;Wǒ yào fù qián.;Ich muss bezahlen.;付/付钱;我要付钱。;L05-1-09;L05
in der Nähe, direkte Umgebung;fùjìn;Adverb;Wǒmen fùjìn yǒu yī jiā yínháng. ;In unserer Nähe gibt es eine Bank.;附近;我们附近有一家银行。;L05-1-10;L05
Stück, Anzahl „Stück“;gè;Zähleinwort;Zhè bīnguǎn yǒu yī bǎi gè fángjiān.;Dieses Hotel hat 100 Zimmer.;个;这宾馆有一百个房间。;L05-1-11;L05
oder;háishì;Konjunktion;Nǐ xiǎng chī zhège háishì nàge?;Möchtest du dieses oder jenes essen?;还是;你想吃这个还是那个？;L05-1-12;L05
wechseln;huàn;Verb;Zài nǎr néng huàn qián?;Wo kann ich Geld wechseln?;换;在哪儿能换钱？;L05-1-13;L05
ZEW für Zimmer;jiān;Zähleinwort;Wǒ xiǎng yào liǎng jiān shuāng rén fángjiān.;Ich möchte zwei Doppelzimmer.;间;我想要两间双人房。;L05-1-14;L05
ZEW für Geld (= 10 fēn);jiǎo/máo;Subst.;Yī yuán shì shí jiǎo.;Ein Yuan sind zehn Jiao.;角/毛;一元是十角。;L05-1-15;L05
Karte (Kredit-, Zugangskarte u.ä.);kǎ;Subst.;Wǒ kěyǐ zài zhèlǐ shuā kǎ ma?;Kann ich hier mit Karte bezahlen?;卡;我可以在这里刷卡吗？;L05-1-16;L05
dürfen, können;kěyǐ;Modalverb;Wǒ kěyǐ bāng nín ma?;Darf ich ihnen helfen?;可以;我可以帮您吗？;L05-1-17;L05
leer, frei;kōng;Adjektiv;Nín hái yǒu kòng fángjiān ma?;Haben Sie noch ein Zimmer frei?;空;您还有空房间吗？;L05-1-18;L05
Aspektpartikel;le;Partikel;Wǒ mǎi le yī bēi kāfēi.;Ich habe eine Tasse Kaffee gekauft.;了;我买了一杯咖啡。;L05-1-19;L05
zwei;liǎng;Zahlwort;Wǒ xiǎng zhù liǎng tiān.;Ich möchte zwei Tage bleiben.;两;我想住两天。;L05-1-20;L05
"Gebäude; ZEW für Etage";lóu;Subst.;Wǒ zhù zài sān hào lóu.;Ich wohne im Gebäude Nummer drei.;楼;我住在三号楼。;L05-1-21;L05
können;néng;Modalverb;Wǒmen míngtiān néng qù.;Wir können morgen gehen.;能;我们明天能去。;L05-1-22;L05
Euro;ōuyuán;Subst.;Wǒ kěyǐ zài nǎlǐ huàn ōuyuán?;Wo kann ich Euro wechseln?;欧元;我可以在哪里换欧元？;L05-1-23;L05
billig;piányi;Adjektiv;Zhège fángjiān hěn piányí.;Dieses Zimmer ist sehr billig.;便宜;这个房间很便宜。;L05-1-24;L05
Geld;qián;Subst.;Wǒ zài nǎlǐ kěyǐ huàn qián?;Wo kann ich Geld wechseln?;钱;我在哪里可以换钱？;L05-1-25;L05
tausend;qiān;Zahlwort;Wǒmen xuéxiào yǒu yīqiān ge xuéshēng.;Unsere Schule hat 1000 Schüler.;千;我们学校有一千学生。;L05-1-26;L05
holen, abholen;qǔ;Verb;Wǒ qù qǔ jǐ běn shū.;Ich gehe, um einige Bücher zu holen.;取;我去取几本书。;L05-1-27;L05
RMB / CNY;rénmínbì;Subst.;Wǒ xiǎng huàn yī diǎn rénmínbì.;Ich möchte etwas chinesisches Geld wechseln.;人民币;我想换一点人民币。;L05-1-28;L05
mit Karte bezahlen;shuā kǎ;Verb;Qǐng shuā kǎ zhīfù.;Bitte zahlen Sie mit Karte.;刷卡;请刷卡支付。;L05-1-29;L05
"Doppel-; ZEW für Paare";shuāng;Adjektiv;Wǒ xiǎng yào yī jiān shuāng rén fángjiān.;Ich möchte ein Doppelzimmer.;双;我想要一间双人房。;L05-1-30;L05
ausfüllen;tián;Verb;Qǐng tián xià biǎogé.;Bitte füllen Sie das Formular aus.;填;请填写表格。;L05-1-31;L05
Tag;tiān;Subst.;Yī tiān yào duōshǎo qián?;Wie viel kostet das pro Tag?;天;一天要多少钱？;L05-1-32;L05
O.K., in Ordnung, das geht;xíng;Verb;Shì de, xíng.;Ja, das ist in Ordnung.;行;是的，行。;L05-1-33;L05
haben wollen, brauchen;yào;Verb;Wǒ yào yī bēi kāfēi.;Ich möchte eine Tasse Kaffee.;要;我想要一杯咖啡。;L05-1-34;L05
insgesamt;yīgòng;Adverb;Zhèxiē shū yīgòng duōshǎo qián?;Wie viel kosten diese Bücher insgesamt?;一共;这些书一共多少钱？;L05-1-35;L05
Bank;yínháng;Subst.;Wǒ zài yínháng qǔ qián.;Ich hebe Geld von der Bank ab.;银行;我在银行取钱。;L05-1-36;L05
über (einer bestimmten Menge);yǐshàng;Präposition;Wǒmen xuéxiào yǒu sānqiān xuéshēng yǐshàng. ;Unsere Schule hat mehr als dreitausend Schüler. ;以上;我们学校有三千以上的学生。;L05-1-37;L05
"mit (etw.); benutzen, gebrauchen";yòng;Verb;Wǒ yòng diànnǎo gōngzuò.;Ich arbeite mit einem Computer.;用;我用电脑工作。;L05-1-38;L05
ZEW für Geld (= 10 jiǎo);yuán;Subst.;Zhè běn shū yào wǔshí yuán.;Dieses Buch kostet 50 Yuan.;元;这本书要五十元。;L05-1-39;L05
ZEW für Geld (= 10 jiǎo);kuài;Subst.;Zhè běn shū yào èrshí kuài qián.;Dieses Buch kostet 20 Yuan.;块;这本书要二十块钱。;L05-1-40;L05
so, so sehr;zhème;Adverb;Tā zhème gāoxìng.;Sie ist so glücklich.;这么;她这么高兴。;L05-1-41;L05
wohnen;zhù;Verb;Wǒ zhù zài yīhào lóu.;Ich wohne im ersten Stock.;住;我住在一号楼。;L05-1-42;L05
Geldautomat;zìdòng qǔkuǎnjī;Subst.;Zìdòng qǔkuǎnjī zài lóu xià.;Der Geldautomat ist unten im Gebäude.;自动取款机;自动取款机在楼下。;L05-1-43;L05
* Lektion 6;*Lektion 6;* Lektion 6;*Lektion 6;*Lektion 6;*Lektion 6;*Lektion 6;L06-1-00;L06
Getränk;yǐnliào;Nomen;Nǐ xǐhuān hē shénme yǐnliào?;Was für ein Getränk magst du?;饮料;你喜欢喝什么饮料？;L06-1-01;L06
Apfelsaft;píngguǒzhī;Nomen;Wǒ xiǎng yào yī bēi píngguǒ zhī.;Ich möchte ein Glas Apfelsaft.;苹果汁;我想要一杯苹果汁。;L06-1-02;L06
Kellner;fúwùyuán;Nomen;Fúwùyuán, qǐng gěi wǒ càidān.;Kellner, bitte geben Sie mir die Speisekarte.;服务员;服务员，请给我菜单。;L06-1-03;L06
Bier;píjiǔ;Nomen;Wǒ xiǎng hē yī píng píjiǔ.;Ich möchte eine Flasche Bier.;啤酒;我想喝一瓶啤酒。;L06-1-04;L06
Essen bestellen;diǎncài/diǎn;Verb;Wǒmen lái diǎn cài ba.;Lass uns bestellen.;点菜 /点;我们来点菜吧。;L06-1-05;L06
Essen;chīfàn/chī;Verb;Wǒmen qù chī fàn.;Wir gehen essen.;吃饭/吃;我们去吃饭。;L06-1-06;L06
sagen;gàosu;Verb;Qǐng gàosù wǒ nǐ shénme shíhòu lái.;Bitte sag mir, wann du kommst.;告诉;请告诉我你什么时候来。;L06-1-07;L06
Reis, Mahlzeit;fàn;Nomen;Zhè dùn fàn hěn hǎo chī.;Dieses Essen schmeckt gut.;饭;这顿饭很好吃。;L06-1-08;L06
grüner Tee;lǜchá;Nomen;Wǒ měitiān hē lǜchá.;Ich trinke jeden Tag grünen Tee.;绿茶;我每天喝绿茶。;L06-1-09;L06
Willkommen;huānyíng guānglín;Redewendung;Huānyíng guānglín wǒmen de cānguǎn!;Herzlich willkommen in unserem Restaurant!;欢迎光临;欢迎光临我们的餐馆！;L06-1-10;L06
willkommen heißen;huānyíng;Verb;Huānyíng nǐ lái wǒ de jiā.;Willkommen in meinem Haus.;欢迎;欢迎你来我的家。;L06-1-11;L06
Kaffee;kāfēi;Nomen;Wǒ xǐhuān hē kāfēi.;Ich mag es, Kaffee zu trinken.;咖啡;我喜欢喝咖啡。;L06-1-12;L06
Kanne;hú;Nomen;Qǐng gěi wǒ yī hú shuǐ.;Bitte geben Sie mir eine Kanne Wasser.;壶;请给我一壶水。;L06-1-13;L06
Mineralwasser;kuàngquánshuǐ;Nomen;Wǒ xiǎng yào kuàngquán shuǐ.;Ich möchte Mineralwasser.;矿泉水;我想要矿泉水。;L06-1-14;L06
mögen, gefallen;xǐhuān;Verb;Wǒ xǐhuān zhège dìfāng.;Ich mag diesen Ort.;喜欢;我喜欢这个地方。;L06-1-15;L06
Restaurant;cānguǎn;Nomen;Zhè jiā cānguǎn hěn bùcuò.;Dieses Restaurant ist ziemlich gut.;餐馆;这家餐馆很不错。;L06-1-16;L06
sitzen;zuò;Verb;Qǐng zuò.;Bitte setzen Sie sich.;坐;请坐。;L06-1-17;L06
sofort;mǎshàng;Adverb;Wǒ mǎshàng jiù lái.;Ich komme sofort.;马上;我马上就来。;L06-1-18;L06
Speisekarte;càidān;Nomen;Qǐng gěi wǒ càidān.;Bitte geben Sie mir die Speisekarte.;菜单;请给我菜单。;L06-1-19;L06
trinken;hē;Verb;Nǐ xiǎng hē shénme?;Was möchtest du trinken?;喝;你想喝什么？;L06-1-20;L06
Flasche;píng;Nomen;Qǐng gěi wǒ yī píng shuǐ.;Bitte geben Sie mir eine Flasche Wasser.;瓶;请给我一瓶水。;L06-1-21;L06
Sitzplatz, Position;wèi;Nomen;Wǒmen yǒu yī gè wèi zi.;Wir haben einen Platz.;位;我们有一个位子。;L06-1-22;L06
Tasse, Becher;bēi;Nomen;Qǐng gěi wǒ yī bēi lǜchá.;Bitte geben Sie mir eine Tasse grünen Tee.;杯;请给我一杯绿茶。;L06-1-23;L06
Rechnung zahlen;mǎidān;Redewendung;Qǐng gěi wǒ mǎidān.;Bitte bringen Sie mir die Rechnung.;买单;请给我买单。;L06-1-24;L06
gebraten;chǎo;Verb;Wǒ yào chǎo mǐfàn.;Ich möchte gebratenen Reis.;炒;我要炒米饭。;L06-1-25;L06
Stäbchen;kuàizi;Nomen;Qǐng gěi wǒ yī shuāng kuàizi.;Bitte geben Sie mir ein Paar Essstäbchen.;筷子;请给我一双筷子。;L06-1-26;L06
Familie, Zuhause;jiā;Nomen;Wǒ huídào jiā le.;Ich bin nach Hause gekommen.;家;我回到家了。;L06-1-27;L06
Fisch;yú;Nomen;Wǒ xǐhuān chī yú.;Ich esse gerne Fisch.;鱼;我喜欢吃鱼。;L06-1-28;L06
Fleisch;ròu;Nomen;Zhè ròu hěn hǎo chī.;Dieses Fleischgericht schmeckt gut.;肉;这肉很好吃。;L06-1-29;L06
Frühlingsrolle;chūnjuǎn;Nomen;Wǒ xiǎng yào chūnjuǎn.;Ich möchte Frühlingsrollen.;春卷;我想要春卷。;L06-1-30;L06
geben;gěi;Verb;Wǒ gěi nǐ yī běn shū.;Ich gebe dir ein Buch.;给;我给你一本书。;L06-1-31;L06
Reis;mǐfàn/mǐ;Nomen;Wǒ xiǎng yào yī wǎn mǐfàn.;Ich möchte eine Schüssel Reis.;米饭/米;我想要一碗米饭。;L06-1-32;L06
Gemüse;shūcài;Nomen;Duō chī yīxiē shūcài.;Iss mehr Gemüse.;蔬菜;多吃一些蔬菜。;L06-1-33;L06
gebratene Ente;kǎoyā;Nomen;Wǒ ài chī kǎoyā.;Ich liebe Pekingente.;烤鸭;我爱吃烤鸭。;L06-1-34;L06
innen;lǐ;Präposition;Wǒ zài jiālǐ.;Ich bin zu Hause.;里;我在家里。;L06-1-35;L06
langsam;màn;Adjektiv;Qǐng màn yīdiǎn.;Bitte etwas langsamer.;慢;请慢一点。;L06-1-36;L06
Prost;gānbēi;Redewendung;Ràng wǒmen gānbēi!;Lass uns anstoßen!;干杯;让我们干杯！;L06-1-37;L06
Rindfleisch;niúròu;Nomen;Wǒ xiǎng yào niúròu.;Ich möchte Rindfleisch.;牛肉;我想要牛肉。;L06-1-38;L06
sauer;suān;Adjektiv;Zhège cài yǒudiǎn suān.;Dieses Gericht ist ein bisschen sauer.;酸;这个菜有点酸。;L06-1-39;L06
scharf;là;Adjektiv;Wǒ xǐhuān là de shíwù.;Ich mag scharfes Essen.;辣;我喜欢辣的食物。;L06-1-40;L06
Schüssel;wǎn;Nomen;Qǐng gěi wǒ yī wǎn tāng.;Bitte geben Sie mir eine Schüssel Suppe.;碗;请给我一碗汤。;L06-1-41;L06
Gericht, Gemüse;cài;Nomen;Jīntiān de cài hěn hǎo.;Das Gericht heute ist gut.;菜;今天的菜很好。;L06-1-42;L06
Suppe;tāng;Nomen;Wǒ xiǎng hē tāng.;Ich möchte Suppe trinken.;汤;我想喝汤。;L06-1-43;L06
wie, wie ist es;zěnme/zěnmeyàng;Fragewort;Nǐ jīntiān zěnme yàng?;Wie geht es dir heute?;怎么/怎么样;你今天怎么样？;L06-1-44;L06
Portion;fèn;Nomen;Wǒ xiǎng yào yī fèn zhège cài.;Ich möchte eine Portion von diesem Gemüse.;份;我想要一份这个菜。;L06-1-45;L06
* Lektion 7;*Lektion 7;* Lektion 7;*Lektion 7;*Lektion 7;*Lektion 7;*Lektion 7;L07-1-00;L07
ältere Schwester;jiějie;Nomen;Tā shì wǒ de jiějie.;Sie ist meine ältere Schwester.;姐姐;她是我的姐姐。;L07-1-01;L07
älterer Bruder;gēge;Nomen;Tā shì wǒ de gēge.;Er ist mein älterer Bruder.;哥哥;他是我的哥哥。;L07-1-02;L07
Ehefrau;qīzi;Nomen;Érzi hé tā de qīzi zhù zài…;Mein Sohn und seine Frau wohnen …;妻子;儿子和他的妻子住在……;L07-1-03;L07
Ehemann;zhàngfū;Nomen;Nà shì wǒ de zhàngfu.;Das ist mein Ehemann.;丈夫;那是我的丈夫。;L07-1-04;L07
Familie, Zuhause;jiā;Nomen;Wǒ jiā yǒu wǔ kǒu rén.;Meine Familie hat fünf Mitglieder.;家;我家有五口人。;L07-1-05;L07
groß;dà;Adjektiv;Tā jīnnián èrshísì suì, jiéhūn le, yǒu yí gè háizi.;Sie ist dieses Jahr 24, verheiratet und hat ein Kind.;大;她今年二十四岁，结婚了，有一个孩子。;L07-1-06;L07
heiraten;jiéhūn;Verb;Tā jīnnián èrshísì suì, jiéhūn le, yǒu yí gè háizi.;Sie ist dieses Jahr 24, verheiratet und hat ein Kind.;结婚;她今年二十四岁，结婚了，有一个孩子。;L07-1-07;L07
Hund;gǒu;Nomen;Tāmen yǒu yì zhī dà gǒu hé yì zhī xiǎo māo.;Sie haben einen großen Hund und eine kleine Katze.;狗;他们有一只大狗和一只小猫。;L07-1-08;L07
in Rente gehen;tuìxiū;Verb;Wǒ hé wǒ zhàngfu yǐjīng tuìxiū le.;Mein Mann und ich sind schon im Ruhestand.;退休;我和我丈夫已经退休了。;L07-1-09;L07
jüngere Schwester;mèimei;Nomen;Tā shì wǒ de mèimei.;Sie ist meine jüngere Schwester.;妹妹;她是我的妹妹。;L07-1-10;L07
jüngerer Bruder;dìdi;Nomen;Tā shì wǒ de dìdi.;Er ist mein jüngerer Bruder.;弟弟;他是我的弟弟。;L07-1-11;L07
Kind;háizi;Nomen;Tā jīnnián èrshísì suì, jiéhūn le, yǒu yí gè háizi.;Sie ist dieses Jahr 24, verheiratet und hat ein Kind.;孩子;她今年二十四岁，结婚了，有一个孩子。;L07-1-12;L07
klein;xiǎo;Adjektiv;Tāmen yǒu yì zhī dà gǒu hé yì zhī xiǎo māo.;Sie haben einen großen Hund und eine kleine Katze.;小;他们有一只大狗和一只小猫。;L07-1-13;L07
Manager;jīnglǐ;Nomen;Tā shì yí gè gōngsī de jīnglǐ.;Er ist Manager in einer Firma.;经理;他是一个公司的经理。;L07-1-14;L07
Mutter;mǔqīn;Nomen;Nǐ kàn, zhè shì wǒ fùqīn, mǔqīn.;Sieh mal, das sind mein Vater und meine Mutter.;母亲;你看，这是我父亲、母亲。;L07-1-15;L07
nur, bloß;zhǐ;Zählwort;Zhǐ yǒu yí gè jiějie.;Ich habe nur eine ältere Schwester.;只;只有一个姐姐。;L07-1-16;L07
ZEW für Tiere;zhī;Zählwort;Zhǐ yǒu yí gè gǒu.;Ich habe nur einen Hund.;只;只有一个姐姐。;L07-1-16;L07
schon;yǐjīng;Adverb;Wǒ hé wǒ zhàngfu yǐjīng tuìxiū le.;Mein Mann und ich sind schon im Ruhestand.;已经;我和我丈夫已经退休了。;L07-1-17;L07
Sohn;érzi;Nomen;Nà gè shì wǒmen de érzi, tā shì dàxuéshēng.;Das ist unser Sohn, er ist Student.;儿子;那个是我们的儿子，他是大学生。;L07-1-18;L07
Tochter;nǚ'ér;Nomen;Nǚ’ér, tā shì gōngchéngshī, zài Shànghǎi gōngzuò.;Unsere Tochter, sie ist Ingenieurin und arbeitet in Shanghai.;女儿;女儿，她是工程师，在上海工作。;L07-1-19;L07
Vater;fùqīn;Nomen;Nǐ kàn, zhè shì wǒ fùqīn, mǔqīn.;Sieh mal, das sind mein Vater und meine Mutter.;父亲;你看，这是我父亲、母亲。;L07-1-20;L07
Mund, Zähleinheit für Familienmitglieder;kǒu;Nomen / Zählwort;Wǒ jiā yǒu wǔ kǒu rén.;Meine Familie hat fünf Mitglieder.;口;我家有五口人。;L07-1-21;L07
alle;dōu;Adverb;Tāmen dōu hěn piàoliang.;Sie sind beide sehr hübsch.;都;它们都很漂亮。;L07-1-22;L07
dieses Jahr;jīnnián;Nomen;Jīnnián wǒ bàba wǔshísān suì.;Dieses Jahr ist mein Vater 53 Jahre alt.;今年;今年我爸爸五十三岁。;L07-1-23;L07
es;tā;Pronomen;Tāmen dōu hěn piàoliang.;Sie sind beide sehr hübsch.;它;它们都很漂亮。;L07-1-24;L07
Geschwister;xiōngdì jiěmèi;Nomen;Nǐ yǒu méiyǒu xiōngdì jiěmèi?;Hast du Geschwister?;兄弟姐妹;你有没有兄弟姐妹？;L07-1-25;L07
Grüße ausrichten;wènhǎo;Redewendung;Qǐng xiàng tāmen wèn hǎo!;Bitte richte ihnen Grüße aus!;问好;请向他们问好！;L07-1-26;L07
Katze;māo;Nomen;Tāmen yǒu yì zhī dà gǒu hé yì zhī xiǎo māo.;Sie haben einen großen Hund und eine kleine Katze.;猫;他们有一只大狗和一只小猫。;L07-1-27;L07
Leben;shēnghuó;Nomen;Tāmen shēnghuó de zhēn hǎo.;Sie führen wirklich ein gutes Leben.;生活;他们生活得真好。;L07-1-28;L07
Jahre (Alter);suì;Zählwort;Tā sìshísān suì.;Er ist 43 Jahre alt.;岁;他四十三岁。;L07-1-29;L07
lieben;ài;Verb;Wǒmen yě ài qù tāmen nàr hē kāfēi.;Wir gehen auch gerne zu ihnen Kaffee trinken.;爱;我们也爱去他们那儿喝咖啡。;L07-1-30;L07
machen;zuò;Verb;Nǐ bàba, māma zuò shénme gōngzuò?;Was arbeiten deine Eltern?;做;你爸爸、妈妈做什么工作？;L07-1-31;L07
Mutter;māma;Nomen;Bàba shì gōngchéngshī, māma shì xuéxiào de lǎoshī.;Mein Vater ist Ingenieur, meine Mutter ist Lehrerin.;妈妈;爸爸是工程师，妈妈是学校的老师。;L07-1-32;L07
oft;chángcháng/cháng;Adverb;… cháng lái wǒmen zhèr wánr.;… kommen oft zu uns zu Besuch.;常;常来我们这儿玩儿。;L07-1-33;L07
Vater;bàba;Nomen;Bàba shì gōngchéngshī.;Mein Vater ist Ingenieur.;爸爸;爸爸是工程师。;L07-1-34;L07
Schule;xuéxiào;Nomen;Māma shì xuéxiào de lǎoshī.;Meine Mutter ist Lehrerin an einer Schule.;学校;妈妈是学校的老师。;L07-1-35;L07
spielen;wán;Verb;… cháng lái wǒmen zhèr wánr.;… kommen oft zu uns zu Besuch und spielen hier.;玩;常来我们这儿玩儿。;L07-1-36;L07
bekommen;de;Partikel;Tāmen shēnghuó de zhēn hǎo.;Sie führen wirklich ein gutes Leben.;得;他们生活得真好。;L07-1-37;L07
weiblich, Frau;nǚ;Adjektiv / Nomen;Wǒ nǚ péngyou.;Meine Freundin.;女;我女朋友。;L07-1-38;L07
wie alt;duōdà;Fragewort;Tāmen jīnnián duō dà le?;Wie alt sind sie dieses Jahr?;多大;他们今年多大了？;L07-1-39;L07
wirklich;zhēn;Adverb;Tāmen shēnghuó de zhēn hǎo.;Sie führen wirklich ein gutes Leben.;真;他们生活得真好。;L07-1-40;L07
denken, möchten;xiǎng;Verb;Nǐ xiǎng bù xiǎng nǐ bàba, māma?;Vermisst du deine Eltern?;想;你想不想你爸爸、妈妈？;L07-1-41;L07
in Richtung;xiàng;Präposition;Qǐng xiàng tāmen wèn hǎo!;Bitte richte ihnen Grüße aus!;向;请向他们问好！;L07-1-42;L07
* Lektion 8;*Lektion 8;* Lektion 8;*Lektion 8;*Lektion 8;*Lektion 8;*Lektion 8;L08-1-00;L08
entfernt sein von;lí;Präposition;;;离;;L08-1-01;L08
gehen;zǒu;Verb;;;走;;L08-1-02;L08
Bar;jiǔbā;Nomen;;;酒吧;;L08-1-03;L08
so, auf diese Weise;nàme;Adverb;;;那么;;L08-1-04;L08
Taxi nehmen;dǎdī;Verb;;;打的;;L08-1-05;L08
fahren, öffnen;kāi;Verb;;;开;;L08-1-06;L08
Fahrrad;zìxíngchē;Nomen;;;自行车;;L08-1-07;L08
weit;yuǎn;Adjektiv;;;远;;L08-1-08;L08
fragen;wèn;Verb;;;问;;L08-1-09;L08
Fräulein;xiǎojiě;Nomen;;;小姐;;L08-1-10;L08
hinten, hinter;hòu/hòumiàn;Nomen;;;后/后面;;L08-1-11;L08
Auto;chē/qìchē;Nomen;;;车/汽车;;L08-1-12;L08
nah;jìn;Adjektiv;;;近;;L08-1-13;L08
oder;huòzhě;Konjunktion;;;或者;;L08-1-14;L08
öffentliche Toilette;gōnggòng cèsuǒ;Nomen;;;公共厕所;;L08-1-15;L08
Bus;gōngjiāochē;Nomen;;;公交车;;L08-1-16;L08
reiten, fahren (Fahrrad);qí;Verb;;;骑;;L08-1-17;L08
Taxi;chūzūchē;Nomen;;;出租车;;L08-1-18;L08
viel;duō;Adjektiv;;;多;;L08-1-19;L08
zu Fuß gehen;zǒulù;Verb;;;走路;;L08-1-20;L08
zu viel;tàiduōle;Redewendung;;;太多了;;L08-1-21;L08
zurückgehen;huí;Verb;;;回;;L08-1-22;L08
abbiegen;guǎi;Verb;;;拐;;L08-1-23;L08
draußen, außerhalb;wài/wàimiàn;Nomen;;;外/外面;;L08-1-24;L08
aussteigen;xiàchē;Verb;;;下车;;L08-1-25;L08
ankommen, bis;dào;Verb;;;到;;L08-1-26;L08
genau, eben;jiù;Adverb;;;就;;L08-1-27;L08
einsteigen;shàngchē;Verb;;;上车;;L08-1-28;L08
Linie;xiàn;Nomen;;;线;;L08-1-29;L08
links;zuǒ/zuǒbiān;Nomen;;;左/左边;;L08-1-30;L08
nach, in Richtung;wǎng;Präposition;;;往;;L08-1-31;L08
Nanjing;Nánjīng;Eigenname;;;南京;;L08-1-32;L08
neben;pángbiān;Nomen;;;旁边;;L08-1-33;L08
Osten;dōng;Nomen;;;东;;L08-1-34;L08
Zählwort (für Reihenfolge);dì;Präfix;;;第;;L08-1-35;L08
rechts;yòu/yòubiān;Nomen;;;右/右边;;L08-1-36;L08
Station, Haltestelle;zhàn;Nomen;;;站;;L08-1-37;L08
Straße, Weg;lù;Nomen;;;路;;L08-1-38;L08
Straßenkreuzung;lùkǒu;Nomen;;;路口;;L08-1-39;L08
U-Bahn;dìtiě;Nomen;;;地铁;;L08-1-40;L08
vorne;qián/qiánmiàn;Nomen;;;前/前面;;L08-1-41;L08
Westen;xī;Nomen;;;西;;L08-1-42;L08
Der Bund (in Shanghai);Wàitān;Eigenname;;;外滩;;L08-1-43;L08
* Lektion 9;*Lektion 9;* Lektion 9;*Lektion 9;*Lektion 9;*Lektion 9;*Lektion 9;L09-1-00;L09
tragen (Kleidung);chuān;Verb;;;穿;;L09-1-01;L09
gerade (Partikel);zhe;Partikel;;;着;;L09-1-02;L09
blau;lánsè;Nomen;;;蓝色;;L09-1-03;L09
Farbe;yánsè;Nomen;;;颜色;;L09-1-04;L09
Hemd;chènshān;Nomen;;;衬衫;;L09-1-05;L09
Jacke, Oberteil;shàngyī;Nomen;;;上衣;;L09-1-06;L09
Jeans;niúzǎikù;Nomen;;;牛仔裤;;L09-1-07;L09
kaufen;mǎi;Verb;;;买;;L09-1-08;L09
Kleidung;yīfu;Nomen;;;衣服;;L09-1-09;L09
wollen, brauchen;yào;Verb;;;要;;L09-1-10;L09
Pullover;máoyī;Nomen;;;毛衣;;L09-1-11;L09
Rock;qúnzi;Nomen;;;裙子;;L09-1-12;L09
rot;hóngsè;Nomen;;;红色;;L09-1-13;L09
Schuhe;xiézi;Nomen;;;鞋子;;L09-1-14;L09
schwarz;hēisè;Nomen;;;黑色;;L09-1-15;L09
T-Shirt;T xù;Nomen;;;T 恤;;L09-1-16;L09
weiß;báisè;Nomen;;;白色;;L09-1-17;L09
Zähleinheitswort für Kleidung;jiàn;Nomen;;;件;;L09-1-18;L09
Zähleinheitswort für lange Dinge (z.B. Hosen);tiáo;Nomen;;;条;;L09-1-19;L09
Sorte, Art;zhǒng;Nomen;;;种;;L09-1-20;L09
Apfel;píngguǒ;Nomen;;;苹果;;L09-1-21;L09
zu (sehr);tài;Adverb;;;太;;L09-1-22;L09
Ei;jīdàn;Nomen;;;鸡蛋;;L09-1-23;L09
einige;xiē;Zählerwort;;;些;;L09-1-24;L09
probieren, versuchen;shì yī shì;Redewendung;;;试一试;;L09-1-25;L09
Gramm;kè;Nomen;;;克;;L09-1-26;L09
Gurke;huángguā;Nomen;;;黄瓜;;L09-1-27;L09
Kilogramm;gōngjīn;Nomen;;;公斤;;L09-1-28;L09
Geschäft;shāngdiàn/diàn;Nomen;;;商店/店;;L09-1-29;L09
zwei (vor Zählwörtern);liǎng;Zählerwort;;;两;;L09-1-30;L09
Milch;niúnǎi;Nomen;;;牛奶;;L09-1-31;L09
Obst;shuǐguǒ;Nomen;;;水果;;L09-1-32;L09
grüne Paprika;qīngjiāo;Nomen;;;青椒;;L09-1-33;L09
passend, geeignet;héshì;Adjektiv;;;合适;;L09-1-34;L09
chinesisches Pfund (500 Gramm);jīn;Nomen;;;斤;;L09-1-35;L09
Dinge, Sachen;dōngxi;Nomen;;;东西;;L09-1-36;L09
suchen;zhǎo;Verb;;;找;;L09-1-37;L09
Tomate;xīhóngshì;Nomen;;;西红柿;;L09-1-38;L09
Traube;pútao;Nomen;;;葡萄;;L09-1-39;L09
Verkäufer;shòuhuòyuán;Nomen;;;售货员;;L09-1-40;L09
* Lektion 10;*Lektion 10;* Lektion 10;*Lektion 10;*Lektion 10;*Lektion 10;*Lektion 10;L10-1-00;L10
alle;dàjiā;Nomen;;;大家;;L10-1-01;L10
antworten;huídá;Verb;;;回答;;L10-1-02;L10
Bedeutung;yìsi;Nomen;;;意思;;L10-1-03;L10
sprechen, erklären;jiǎng;Verb;;;讲;;L10-1-04;L10
beenden;wán;Verb;;;完;;L10-1-05;L10
Frage, Problem;wèntí;Nomen;;;问题;;L10-1-06;L10
Respekt, Achtung;zūnjìng;Verb;;;尊敬;;L10-1-07;L10
Grammatik;yǔfǎ;Nomen;;;语法;;L10-1-08;L10
hören;tīng;Verb;;;听;;L10-1-09;L10
jeder, jede, jedes;měi;Pronomen;;;每;;L10-1-10;L10
Klassenzimmer;jiàoshì;Nomen;;;教室;;L10-1-11;L10
unterrichten;jiāo;Verb;;;教;;L10-1-12;L10
Lektionstext;kèwén;Nomen;;;课文;;L10-1-13;L10
lesen;dú;Verb;;;读;;L10-1-14;L10
Wort, Sprache;huà;Nomen;;;话;;L10-1-15;L10
